GEO_CODE,Pakistani,Bangladeshi,Back_African
E02004759,0,0.001068757,0.000712504
E02004760,0.000664011,0.000996016,0.004648074
E02004761,0.003023758,0.000863931,0.004319654
E02004764,0.000890076,0.004895416,0.004895416
E02004765,0,0,0
E02004766,0.001302083,0.002604167,0.004340278
E02004767,0,0,0.000863931
E02004768,0,0,0.006332197
E02004769,0.000379075,0,0.004927976
E02004770,0,0.000775494,0.003489725
E02004771,0,0.003533569,0.002944641
E02004772,0,0,0.004303211
E02004774,0.000764234,0.002292702,0.000764234
E02004775,0,0.002157497,0
E02004776,0,0,0.001333333
E02004777,0,0,0.000672495
E02004778,0,0,0.005772931
E02004779,0.000650195,0.000650195,0.000650195
E02004780,0,0.000944287,0.004721435
E02004781,0.000600781,0.003905077,0.003905077
E02004782,0,0.00764526,0.004587156
E02004783,0,0.001805706,0.001805706
E02004784,0,0,0
E02004785,0,0,0.003287311
E02004786,0,0.003078645,0.018471872
E02004787,0,0.001453488,0.000968992
E02004788,0,0.002352941,0.000941176
E02004789,0.000892061,0.000297354,0.002378828
E02004790,0,0,0.001517451
E02004791,0,0,0.004320691
E02004792,0,0.001169591,0.003118908
E02004793,0.001047669,0.000523834,0.00471451
E02004794,0.001055409,0,0.003166227
E02004795,0,0.000436491,0.001745962
E02004796,0,0,0.000399042
E02004797,0.001459321,0,0.001459321
E02004798,0,0.001415094,0.004245283
E02004799,0,0.002334267,0.012138189
E02004800,0,0,0.00146092
E02004801,0,0.005256242,0
E02004802,0.006208912,0.005843682,0.008400292
E02004803,0.005319149,0.002659574,0.011820331
E02004804,0.004458162,0.000342936,0.014746228
E02004805,0.008314679,0.004157339,0.007994883
E02004806,0.003121453,0.002553916,0.009931896
E02004807,0.007904061,0.004633415,0.015535568
E02004808,0.007217848,0.002187227,0.026027997
E02004809,0.005347594,0.001860033,0.048825854
E02004810,0.010484557,0.001700198,0.01416832
E02004811,0.009395973,0.003691275,0.011744966
E02004812,0.018720749,0.001950078,0.003900156
E02004813,0.010160881,0.00084674,0.011430991
E02004814,0.001904037,0,0.003046458
E02004815,0.000301477,0.004220681,0.003919204
E02004816,0.000299401,0.00508982,0.006287425
E02004817,0.000686342,0.002402196,0.00754976
E02004818,0.001368738,0,0.002737476
E02004819,0.000341297,0.002047782,0.005119454
E02004820,0,0,0.002706883
E02004821,0,0.001304631,0
E02004822,0,0,0.001743679
E02004823,0.00102459,0.00273224,0.006147541
E02004824,0.002427184,0.000606796,0.003033981
E02004825,0.002743902,0.002134146,0.000609756
E02004826,0,0,0.002084419
E02004827,0.003162555,0.000632511,0.005060089
E02004828,0.011201629,0.001527495,0.00203666
E02004829,0.003844306,0,0.005766458
E02004830,0,0.001397299,0.003726129
E02004831,0,0.002364998,0.003153331
E02004832,0,0,0.00154321
E02004833,0.000835887,0.00334355,0.003622179
E02004834,0.00152532,0.005491153,0.002440513
E02004835,0.000518672,0.002334025,0.00466805
E02004836,0.00179019,0.008234873,0.005728607
E02004837,0.000777303,0.002331908,0.003886514
E02004838,0.000694927,0.000694927,0.002084781
E02004839,0.001692047,0.002538071,0.001692047
E02004840,0.001275917,0.000956938,0.000956938
E02004841,0.002111189,0.001642036,0.002345766
E02004842,0.00287977,0,0.001079914
E02004843,0.001552192,0.001552192,0.007760962
E02004844,0.001384083,0.000692042,0.012456747
E02004845,0.002193784,0.001462523,0.008409506
E02004846,0,0.003108808,0.014507772
E02004847,0.001956469,0.001467351,0.038395696
E02004848,0.003568879,0,0.025339044
E02004849,0,0.000812348,0.011372868
E02004850,0.001385521,0.002424662,0.031174229
E02004851,0.000924642,0,0.025889968
E02004852,0.002073255,0.00138217,0.0414651
E02004853,0.001325674,0.001767565,0.021652673
E02004854,0.004728992,0.001818843,0.060021826
E02004855,0.005071599,0.006264916,0.115453461
E02004856,0.000980873,0.001471309,0.003923492
E02004857,0.00148662,0,0.006937562
E02004858,0.003699789,0.001057082,0.002642706
E02004859,0.003610108,0.001203369,0.001203369
E02004860,0.013302927,0.004561003,0.066514633
E02004861,0.001265022,0,0.0056926
E02004862,0.019909186,0.004191408,0.042961928
E02004863,0.028037383,0.002180685,0.046417445
E02004864,0.002107038,0.001264223,0.000421408
E02004865,0.005774783,0.000962464,0.018286814
E02004866,0.009573195,0.000797766,0.018348624
E02004867,0.003184713,0,0.002274795
E02004868,0.017815284,0.005625879,0.018284107
E02004869,0.001882353,0,0.001882353
E02004870,0.021932115,0.005483029,0.037859008
E02004871,0.010031679,0.002111932,0.012143611
E02004872,0.0221843,0.002133106,0.017918089
E02004873,0.006612785,0.002204262,0.008572128
E02004874,0.045683152,0.003772003,0.022212909
E02004875,0.082317899,0.003790956,0.026536691
E02004876,0.003062787,0.000765697,0.003445636
E02004877,0.002836075,0.00113443,0.00340329
E02004878,0,0.005045872,0.001834862
E02004879,0.000806777,0,0.006050827
E02004880,0.002770083,0.001231148,0.004924592
E02004881,0.000906208,0.00362483,0.005890349
E02004882,0.002597403,0.00487013,0.014285714
E02004883,0,0.002026342,0.005065856
E02004884,0.003242993,0.000926569,0.008107482
E02004885,0.005627962,0.003258294,0.005627962
E02004886,0,0.002086594,0.005738132
E02004887,0.00128041,0.001707213,0.002560819
E02004888,0.003759398,0.003417635,0.008544087
E02004889,0.000473709,0.002368546,0.006395073
E02004890,0.002367564,0.000591891,0.008286475
E02004891,0,0.000701508,0.002104525
E02004892,0.000898876,0.001797753,0.00988764
E02004893,0.000838574,0.002096436,0.005450734
E02004894,0.003436426,0.003150057,0.00486827
E02004895,0.00146028,0.000584112,0.004964953
E02004896,0.006498471,0.004204893,0.027905199
E02004897,0.002090301,0.003344482,0.022157191
E02004898,0.006681514,0.0077951,0.031180401
E02004899,0.001874414,0.004686036,0.015463918
E02004900,0.003972553,0.000722282,0.015529072
E02004901,0.00295421,0.004431315,0.077695716
E02004902,0.006264916,0.001789976,0.080847255
E02004903,0.012061404,0.003289474,0.033260234
E02004904,0.000772798,0.001545595,0.064528594
E02004905,0.009338205,0,0.04181892
E02004906,0.002883922,0.002162942,0.074020668
E02004907,0.005740528,0.002009185,0.021814007
E02004908,0.00929368,0.002168525,0.011771995
E02004909,0.001945525,0.005836576,0.013132296
E02004910,0,0.000772201,0.003603604
E02004911,0,0.002156102,0.005174644
E02004912,0.001839201,0.001050972,0.004992118
E02004913,0.003773585,0.00102916,0.023156089
E02004914,0.003123915,0.002776814,0.010760153
E02004915,0.008384819,0,0.011032657
E02004916,0.002128565,0.003405705,0.012345679
E02004917,0.008200456,0.000911162,0.016856492
E02004918,0.010063559,0.015625,0.010858051
E02004919,0.01048218,0.011180992,0.007337526
E02004920,0.003857033,0.01259964,0.011828233
E02004921,0.00209205,0.008019526,0.014644351
E02004922,0.001970443,0.001313629,0.000985222
E02004923,0.002952465,0.000590493,0.007085917
E02004924,0.004660194,0.004271845,0.013203883
E02004925,0.002833865,0.002125399,0.012398158
E02004926,0.003373313,0.004122939,0.004872564
E02004927,0.000928074,0.002784223,0.012993039
E02004928,0.012797075,0.009140768,0.009140768
E02004929,0.000943396,0.004245283,0.002358491
E02004930,0.003526646,0.015282132,0.009012539
E02004931,0.013584575,0.011831727,0.013146363
E02004932,0.012673879,0.043585781,0.009582689
E02004933,0.005725971,0.013087935,0.012269939
E02004934,0.024195928,0.040129832,0.017114193
E02004935,0.006358087,0.02110885,0.015005086
E02004936,0.02130957,0.012785742,0.009298721
E02004937,0.005416051,0,0.005908419
E02004938,0.010169492,0.019067797,0.011440678
E02004939,0.029341792,0.060666138,0.013481364
E02004940,0.013729246,0.068326948,0.013090677
E02004941,0.007862034,0.033984276,0.014709612
E02004942,0.004703669,0.010348071,0.012229539
E02004943,0.007521939,0.004178855,0.00835771
E02004944,0.008261494,0.007543103,0.065732759
E02004945,0.007485333,0.01092454,0.022860611
